ResNet-18 (frozen) + concat
Epochs: 35

Epoch,Loss
1,4.4511
2,4.4162
3,4.4146
4,4.4126
5,4.4050
6,4.4094
7,4.4087
8,4.4123
9,4.4115
10,4.4153
11,4.4071
12,4.4095
13,4.4112
14,4.4078
15,4.4076
16,4.4073
17,4.4094
18,4.4106
19,4.4025
20,4.4109
21,4.4130
22,4.4022
23,4.4008
24,4.3985
25,4.4064
26,4.4044
27,4.4004
28,4.4090
29,4.4013
30,4.4022
31,4.4045
32,4.4060
33,4.4043
34,4.4098
35,4.4059
