latent64 + perceptual + unfreeze decoder
Epochs: 30

Epoch,Loss
1,4.9222
2,4.8172
3,4.7729
4,4.7419
5,4.7108
6,4.6887
7,4.6591
8,4.6296
9,4.6163
10,4.5911
11,4.5704
12,4.5468
13,4.5305
14,4.5143
15,4.4980
16,4.4803
17,4.4670
18,4.4493
19,4.4345
20,4.4256
21,4.4079
22,4.3975
23,4.3828
24,4.3709
25,4.3591
26,4.3495
27,4.3355
28,4.3266
29,4.3192
30,4.3089
